Line	Treat	Place	Year	Hea	Height	Yield
Sca038	T	Diko	2003	75	80	64.7
Sca038	N	Diko	2003	76	65	47.8333
Sca038	T	Gudow	2003	76	78	64.125
Sca038	N	Gudow	2003	77	60	45.25
Sca038	T	Irlbach	2003	67	45	35.80586081
Sca038	N	Irlbach	2003	67	50	49.35897436
Sca038	T	Morgenrot	2003	77	74	59.108
Sca038	N	Morgenrot	2003	75	76	57.752
Sca038	T	Diko	2004	78	87	65.6583
Sca038	N	Diko	2004	80	82	54.8283
Sca038	T	Gudow	2004	76	82	50.11
Sca038	N	Gudow	2004	76	79	60.56
Sca038	T	Irlbach	2004	75	50	30.2142
Sca038	N	Irlbach	2004	75	50	45.0467
Sca038	T	Morgenrot	2004	73	90	65.174
Sca038	N	Morgenrot	2004	75	92	69.44
Sca039	T	Diko	2003	72	112	61.8833
Sca039	N	Diko	2003	73	85	48.1667
Sca039	T	Gudow	2003	71	104	60.375
Sca039	N	Gudow	2003	71	94	48.625
Sca039	T	Irlbach	2003	66	55	43.31501832
Sca039	N	Irlbach	2003	62	60	51.73992674
Sca039	T	Morgenrot	2003	68	113	55.528
Sca039	N	Morgenrot	2003	66	115	48.642
Sca039	T	Diko	2004	75	111.3	61.6967
Sca039	N	Diko	2004	74	113.3	61.44
Sca039	T	Gudow	2004	69	108	49.67
Sca039	N	Gudow	2004	70	100	60.56
Sca039	T	Irlbach	2004	72	70	45.3214
Sca039	N	Irlbach	2004	68	70	58.9636
Sca039	T	Morgenrot	2004	69	110	64.334
Sca039	N	Morgenrot	2004	75	119	61.578
Sca040	T	Diko	2003	75	82	72.1833
Sca040	N	Diko	2003	76	70	58.6667
Sca040	T	Gudow	2003	75	90	76.625
